date,temp_max,temp_min,temp_mean
2022-11-29,31.5,20.7,25.6
2022-11-30,29.6,22.2,25.7
2022-12-01,30.1,22.9,25.8
2022-12-02,27.9,22.0,24.4
2022-12-03,29.1,20.8,24.8
2022-12-04,28.9,22.7,24.7
2022-12-05,29.5,21.8,24.4
2022-12-06,28.3,21.7,24.5
2022-12-07,28.7,22.4,24.9
2022-12-08,29.8,21.6,24.7
2022-12-09,27.5,22.0,24.3
2022-12-10,29.3,22.7,25.6
2022-12-11,28.4,23.4,25.5
2022-12-12,30.1,23.3,25.5
2022-12-13,29.2,22.9,25.4
2022-12-14,29.2,22.6,25.1
2022-12-15,29.5,21.7,25.3
2022-12-16,29.7,22.9,25.1
2022-12-17,30.7,21.1,25.6
2022-12-18,29.7,21.2,25.3
2022-12-19,28.9,22.5,25.6
2022-12-20,28.9,21.5,24.7
2022-12-21,29.5,21.0,24.8
2022-12-22,28.2,22.6,25.1
2022-12-23,28.6,22.3,24.7
2022-12-24,28.3,21.9,24.2
2022-12-25,27.3,22.1,23.7
2022-12-26,26.6,21.6,23.6
2022-12-27,26.6,21.6,23.4
2022-12-28,27.1,20.5,23.5
2022-12-29,25.6,22.0,23.4
2022-12-30,25.7,21.5,23.1
2022-12-31,25.1,21.6,23.0
2023-01-01,27.5,20.9,23.6
2023-01-02,27.9,21.1,23.9
2023-01-03,25.2,21.2,23.3
2023-01-04,28.0,21.1,24.0
2023-01-05,28.4,21.2,24.7
2023-01-06,30.2,23.1,25.9
2023-01-07,29.5,22.8,25.6
2023-01-08,28.6,22.2,25.0
2023-01-09,28.5,21.8,25.2
2023-01-10,29.8,22.4,25.3
2023-01-11,31.3,21.7,26.2
2023-01-12,30.0,22.4,26.0
2023-01-13,29.4,21.7,24.7
2023-01-14,30.9,22.2,26.3
2023-01-15,30.2,23.1,26.4
2023-01-16,29.1,22.6,25.4
2023-01-17,27.4,22.0,24.3
2023-01-18,27.9,21.2,23.6
2023-01-19,26.8,21.4,23.6
2023-01-20,27.4,20.8,24.4
2023-01-21,29.0,21.1,24.4
2023-01-22,28.6,22.2,24.9
2023-01-23,27.2,22.1,24.3
2023-01-24,28.2,21.1,24.5
2023-01-25,25.8,21.4,23.3
2023-01-26,28.9,22.0,24.8
2023-01-27,27.0,22.0,24.1
2023-01-28,26.2,21.1,23.3
2023-01-29,27.1,21.6,23.8
2023-01-30,26.9,22.2,24.0
2023-01-31,28.4,21.4,24.7
2023-02-01,26.5,22.2,23.8
2023-02-02,25.7,21.8,23.7
2023-02-03,27.8,21.5,24.2
2023-02-04,28.7,21.3,24.5
2023-02-05,28.9,20.0,24.8
2023-02-06,29.8,22.3,25.4
2023-02-07,28.5,22.0,24.2
2023-02-08,29.3,21.6,25.0
2023-02-09,28.1,21.4,24.5
2023-02-10,28.1,21.9,24.3
2023-02-11,26.4,21.9,23.4
2023-02-12,25.7,21.7,23.1
2023-02-13,29.7,21.6,24.6
2023-02-14,25.8,22.0,23.8
2023-02-15,28.3,22.3,24.4
2023-02-16,27.2,21.3,23.9
2023-02-17,27.2,21.6,23.6
2023-02-18,27.3,20.9,24.0
2023-02-19,27.6,20.3,24.0
2023-02-20,28.1,22.7,24.8
2023-02-21,27.1,21.0,23.8
2023-02-22,26.7,21.1,23.3
2023-02-23,26.9,21.5,23.4
2023-02-24,26.5,21.0,23.1
2023-02-25,27.2,21.7,23.9
2023-02-26,26.5,21.2,23.5
2023-02-27,25.1,21.8,23.2
2023-02-28,26.7,21.3,23.4
2023-03-01,26.8,21.2,23.9
2023-03-02,24.5,21.1,22.9
2023-03-03,29.4,21.2,24.5
2023-03-04,26.7,21.2,23.9
2023-03-05,27.7,21.4,24.7
2023-03-06,28.3,22.1,25.1
2023-03-07,29.0,21.0,24.6
2023-03-08,27.1,21.1,23.8
2023-03-09,28.0,20.5,24.0
2023-03-10,28.6,21.0,24.1
2023-03-11,29.1,21.0,24.5
2023-03-12,27.7,21.6,24.1
2023-03-13,28.9,20.9,24.5
2023-03-14,25.5,20.8,22.9
2023-03-15,26.8,21.1,23.5
2023-03-16,29.7,21.5,24.9
2023-03-17,29.3,21.3,24.4
2023-03-18,29.5,22.0,24.5
2023-03-19,29.3,22.1,24.8
2023-03-20,29.4,22.0,24.7
2023-03-21,29.9,22.1,25.3
2023-03-22,29.7,22.0,25.3
2023-03-23,30.1,22.1,25.6
2023-03-24,29.2,22.1,25.3
2023-03-25,29.3,22.2,25.1
2023-03-26,28.8,22.1,25.0
2023-03-27,28.7,23.1,25.2
2023-03-28,28.6,21.8,24.9
2023-03-29,27.6,21.6,23.9
2023-03-30,27.4,21.8,24.6
2023-03-31,27.5,22.2,24.8
2023-04-01,27.4,22.0,24.7
2023-04-02,29.1,21.3,24.8
2023-04-03,28.6,20.5,24.2
2023-04-04,28.6,21.1,24.8
2023-04-05,30.1,21.0,25.5
2023-04-06,29.8,19.3,24.9
2023-04-07,30.2,22.2,25.8
2023-04-08,29.7,20.1,24.9
2023-04-09,29.5,20.6,25.0
2023-04-10,28.6,22.8,25.2
2023-04-11,29.2,22.9,25.5
2023-04-12,29.7,22.0,25.8
2023-04-13,29.6,22.4,25.9
2023-04-14,29.9,23.3,25.9
2023-04-15,29.9,21.7,25.3
2023-04-16,29.3,23.8,25.8
2023-04-17,30.1,21.7,26.0
2023-04-18,29.5,22.8,25.6
2023-04-19,29.4,22.9,25.5
2023-04-20,29.8,22.9,25.0
2023-04-21,29.8,22.2,25.2
2023-04-22,29.2,21.8,25.5
2023-04-23,29.8,22.3,25.2
2023-04-24,30.3,22.1,25.5
2023-04-25,29.2,22.0,25.2
2023-04-26,29.4,21.4,24.9
2023-04-27,29.8,22.4,25.1
2023-04-28,29.6,22.4,25.3
2023-04-29,28.8,22.2,25.1
2023-04-30,30.3,22.4,25.8
2023-05-01,27.8,21.5,24.8
2023-05-02,29.3,22.1,25.4
2023-05-03,29.0,22.9,25.4
2023-05-04,29.4,22.9,25.1
2023-05-05,30.4,22.4,25.8
2023-05-06,28.3,22.3,25.5
2023-05-07,29.6,22.4,25.3
2023-05-08,29.3,23.3,25.8
2023-05-09,30.5,22.2,26.2
2023-05-10,31.1,22.4,26.0
2023-05-11,30.0,22.5,26.1
2023-05-12,31.0,23.2,26.4
2023-05-13,30.5,22.7,25.9
2023-05-14,30.1,22.7,26.2
2023-05-15,30.4,22.1,25.8
2023-05-16,30.4,20.9,25.6
2023-05-17,29.5,21.6,25.5
2023-05-18,29.4,21.4,24.9
2023-05-19,29.3,22.0,25.3
2023-05-20,29.7,22.2,25.6
2023-05-21,30.2,21.9,25.3
2023-05-22,29.4,21.7,25.1
2023-05-23,28.9,21.5,24.7
2023-05-24,28.8,21.9,25.4
2023-05-25,30.3,21.8,25.8
2023-05-26,30.7,22.7,26.2
2023-05-27,29.9,22.2,25.9
2023-05-28,29.9,22.1,25.7
2023-05-29,30.1,21.9,25.1
2023-05-30,30.5,21.4,25.5
2023-05-31,31.6,21.5,26.0
2023-06-01,30.3,21.6,25.9
2023-06-02,30.8,21.4,26.4
2023-06-03,31.1,22.0,26.6
2023-06-04,31.1,22.6,26.2
2023-06-05,31.2,22.5,26.3
2023-06-06,30.2,23.1,25.7
2023-06-07,31.0,22.8,26.0
2023-06-08,30.5,22.5,25.7
2023-06-09,31.1,21.6,26.0
2023-06-10,30.5,21.5,25.8
2023-06-11,31.0,21.2,26.2
2023-06-12,31.7,22.6,26.6
2023-06-13,31.5,22.2,26.3
2023-06-14,30.5,22.9,25.6
2023-06-15,30.5,21.7,25.2
2023-06-16,26.0,22.0,23.6
2023-06-17,29.7,22.0,25.3
2023-06-18,29.5,21.7,25.0
2023-06-19,28.9,21.7,24.5
2023-06-20,29.0,20.9,25.1
2023-06-21,30.0,22.5,25.3
2023-06-22,29.8,21.6,25.7
2023-06-23,28.4,22.3,25.4
2023-06-24,29.3,22.5,25.3
2023-06-25,30.4,22.3,25.3
2023-06-26,30.2,21.0,25.4
2023-06-27,30.8,21.4,25.7
2023-06-28,30.3,21.6,25.6
2023-06-29,30.8,23.1,26.2
2023-06-30,30.5,22.8,26.4
2023-07-01,29.9,23.1,25.8
2023-07-02,30.5,21.7,25.4
2023-07-03,31.1,22.6,26.2
2023-07-04,30.9,21.9,26.0
2023-07-05,31.6,21.9,25.9
2023-07-06,29.4,21.8,24.9
2023-07-07,29.0,22.1,24.7
2023-07-08,29.2,22.8,24.8
2023-07-09,30.3,21.2,25.3
2023-07-10,30.2,21.9,24.9
2023-07-11,30.1,20.1,25.1
2023-07-12,29.9,21.0,25.4
2023-07-13,29.9,22.1,25.8
2023-07-14,30.3,23.0,25.3
2023-07-15,29.6,22.0,25.2
2023-07-16,30.3,22.2,25.7
2023-07-17,30.6,21.8,25.6
2023-07-18,31.0,20.5,25.0
2023-07-19,30.0,21.1,25.1
2023-07-20,30.5,20.4,25.4
2023-07-21,30.3,21.8,25.7
2023-07-22,31.5,22.0,26.0
2023-07-23,31.0,21.5,26.0
2023-07-24,30.3,22.0,25.0
2023-07-25,30.8,20.8,25.3
2023-07-26,27.6,21.5,24.7
