"Index","PTBA.JK.Open","PTBA.JK.High","PTBA.JK.Low","PTBA.JK.Close","PTBA.JK.Volume","PTBA.JK.Adjusted"
"2019-12-23",2650,2660,2580,2610,11993800,1008.57153320312
"2019-12-26",2620,2670,2620,2640,11773200,1020.16430664062
"2019-12-27",2640,2680,2630,2650,10007300,1024.02856445312
"2019-12-30",2650,2700,2640,2660,14763500,1027.89282226562
"2020-01-02",2640,2680,2600,2630,8093400,1016.29998779297
"2020-01-03",2610,2670,2600,2670,13483900,1031.75708007812
"2020-01-06",2650,2740,2630,2730,26770600,1054.94250488281
"2020-01-07",2730,2740,2640,2710,22952100,1047.21423339844
"2020-01-08",2700,2700,2640,2670,15608000,1031.75708007812
"2020-01-09",2670,2690,2650,2670,10703400,1031.75708007812
"2020-01-10",2690,2800,2690,2780,52606300,1074.26391601562
"2020-01-13",2810,2850,2810,2830,44452800,1093.58520507812
"2020-01-14",2850,2870,2780,2790,28139900,1078.12817382812
"2020-01-15",2780,2790,2690,2690,27000700,1039.48559570312
"2020-01-16",2700,2740,2650,2680,23356800,1035.62133789062
"2020-01-17",2690,2710,2660,2670,9792700,1031.75708007812
"2020-01-20",2660,2680,2580,2590,21197700,1000.84295654297
"2020-01-21",2560,2610,2540,2560,20624800,989.250305175781
"2020-01-22",2560,2570,2470,2480,27981500,958.336181640625
"2020-01-23",2460,2470,2390,2410,35676700,931.286315917969
"2020-01-24",2410,2420,2350,2370,25342900,915.829345703125
"2020-01-27",2340,2340,2240,2240,39268200,865.593872070312
"2020-01-28",2230,2340,2200,2330,48613600,900.372314453125
"2020-01-29",2360,2400,2320,2330,31015700,900.372314453125
"2020-01-30",2310,2330,2240,2240,30619900,865.593872070312
"2020-01-31",2260,2270,2200,2210,17939300,854.001159667969
"2020-02-03",2180,2220,2160,2170,35172600,838.544189453125
"2020-02-04",2190,2240,2170,2230,21085800,861.729675292969
"2020-02-05",2280,2340,2280,2320,32483400,896.507995605469
"2020-02-06",2360,2360,2280,2290,15297600,884.915222167969
"2020-02-07",2270,2340,2260,2320,11738300,896.507995605469
"2020-02-10",2300,2310,2250,2250,13933600,869.458190917969
"2020-02-11",2260,2320,2230,2310,13944500,892.643615722656
"2020-02-12",2330,2350,2260,2280,16223000,881.050964355469
"2020-02-13",2300,2300,2250,2280,11677000,881.050964355469
"2020-02-14",2280,2340,2260,2330,18474200,900.372314453125
"2020-02-17",2330,2360,2310,2340,13087400,904.236511230469
"2020-02-18",2350,2380,2340,2380,17424900,919.693420410156
"2020-02-19",2380,2420,2370,2400,20155700,927.422058105469
"2020-02-20",2420,2510,2410,2490,32998700,962.200317382812
"2020-02-21",2450,2470,2380,2410,22774600,931.286315917969
"2020-02-24",2400,2400,2320,2350,17784200,908.100769042969
"2020-02-25",2310,2430,2300,2410,23201800,931.286315917969
"2020-02-26",2410,2450,2360,2360,26455900,911.965087890625
"2020-02-27",2360,2420,2280,2290,26832100,884.915222167969
"2020-02-28",2250,2290,2190,2240,42001000,865.593872070312
"2020-03-02",2290,2290,2170,2200,39002300,850.136901855469
"2020-03-03",2250,2400,2250,2370,30483600,915.829345703125
"2020-03-04",2370,2500,2350,2470,33038400,954.471740722656
"2020-03-05",2530,2540,2460,2460,29850800,950.607543945312
"2020-03-06",2420,2480,2420,2450,18529800,946.743408203125
"2020-03-09",2370,2370,2210,2210,38358000,854.001159667969
"2020-03-10",2220,2320,2220,2310,23587000,892.643615722656
"2020-03-11",2330,2350,2170,2200,24599500,850.136901855469
"2020-03-12",2100,2190,2010,2060,23191300,796.037292480469
"2020-03-13",2060,2060,2060,2060,0,796.037292480469
"2020-03-16",2060,2060,2060,2060,0,796.037292480469
"2020-03-17",1835,1850,1710,1710,23282900,660.788269042969
"2020-03-18",1710,1710,1595,1595,29978700,616.349243164062
"2020-03-19",1590,1590,1485,1485,2795600,573.842468261719
"2020-03-20",1485,1855,1385,1800,79840200,695.566650390625
"2020-03-23",1790,1895,1675,1675,74786200,647.263305664062
"2020-03-24",1700,1815,1700,1790,48910700,691.702270507812
"2020-03-26",1850,2120,1830,2020,41809200,780.580261230469
"2020-03-27",2090,2240,1995,2040,71887800,788.308715820312
"2020-03-30",2040,2040,1900,1900,16821100,734.209106445312
"2020-03-31",1930,2180,1900,2180,33618700,842.408386230469
"2020-04-01",2120,2230,2040,2050,30561000,792.173034667969
"2020-04-02",2030,2060,1950,2030,23837600,784.444458007812
"2020-04-03",2020,2130,2020,2110,25841300,815.358520507812
"2020-04-06",2100,2160,2090,2160,18666000,834.679870605469
"2020-04-07",2250,2250,2090,2100,21588800,811.494323730469
"2020-04-08",2100,2150,1955,1995,19039300,770.919616699219
