"","date","confirmed","deaths","recovered"
"1",2020-01-03,NA,NA,NA
"2",2020-01-04,NA,NA,NA
"3",2020-01-05,NA,NA,NA
"4",2020-01-06,NA,NA,NA
"5",2020-01-07,NA,NA,NA
"6",2020-01-08,NA,NA,NA
"7",2020-01-09,NA,NA,NA
"8",2020-01-10,NA,NA,NA
"9",2020-01-11,NA,NA,NA
"10",2020-01-12,NA,NA,NA
"11",2020-01-13,NA,NA,NA
"12",2020-01-14,NA,NA,NA
"13",2020-01-15,NA,NA,NA
"14",2020-01-16,NA,NA,NA
"15",2020-01-17,NA,NA,NA
"16",2020-01-18,NA,NA,NA
"17",2020-01-19,NA,NA,NA
"18",2020-01-20,NA,NA,NA
"19",2020-01-21,NA,NA,NA
"20",2020-01-22,NA,NA,NA
"21",2020-01-23,NA,NA,NA
"22",2020-01-24,NA,NA,NA
"23",2020-01-25,NA,NA,NA
"24",2020-01-26,NA,NA,NA
"25",2020-01-27,NA,NA,NA
"26",2020-01-28,NA,NA,NA
"27",2020-01-29,NA,NA,NA
"28",2020-01-30,NA,NA,NA
"29",2020-01-31,NA,NA,NA
"30",2020-02-01,NA,NA,NA
"31",2020-02-02,NA,NA,NA
"32",2020-02-03,NA,NA,NA
"33",2020-02-04,NA,NA,NA
"34",2020-02-05,NA,NA,NA
"35",2020-02-06,NA,NA,NA
"36",2020-02-07,NA,NA,NA
"37",2020-02-08,NA,NA,NA
"38",2020-02-09,NA,NA,NA
"39",2020-02-10,NA,NA,NA
"40",2020-02-11,NA,NA,NA
"41",2020-02-12,NA,NA,NA
"42",2020-02-13,NA,NA,NA
"43",2020-02-14,NA,NA,NA
"44",2020-02-15,NA,NA,NA
"45",2020-02-16,NA,NA,NA
"46",2020-02-17,NA,NA,NA
"47",2020-02-18,NA,NA,NA
"48",2020-02-19,NA,NA,NA
"49",2020-02-20,NA,NA,NA
"50",2020-02-21,NA,NA,NA
"51",2020-02-22,NA,NA,NA
"52",2020-02-23,NA,NA,NA
"53",2020-02-24,NA,NA,NA
"54",2020-02-25,NA,NA,NA
"55",2020-02-26,NA,NA,NA
"56",2020-02-27,NA,NA,NA
"57",2020-02-28,NA,NA,NA
"58",2020-02-29,NA,NA,NA
"59",2020-03-01,NA,NA,NA
"60",2020-03-02,2,NA,NA
"61",2020-03-03,2,NA,NA
"62",2020-03-04,2,NA,NA
"63",2020-03-05,2,NA,NA
"64",2020-03-06,4,NA,NA
"65",2020-03-07,4,NA,NA
"66",2020-03-08,6,NA,NA
"67",2020-03-09,19,NA,NA
"68",2020-03-10,27,NA,2
"69",2020-03-11,34,1,NA
"70",2020-03-12,34,1,NA
"71",2020-03-13,69,4,NA
"72",2020-03-14,96,5,8
"73",2020-03-15,117,5,NA
"74",2020-03-16,134,5,NA
"75",2020-03-17,172,5,NA
"76",2020-03-18,227,19,11
"77",2020-03-19,311,25,NA
"78",2020-03-20,369,32,15
"79",2020-03-21,450,38,NA
"80",2020-03-22,514,48,29
"81",2020-03-23,579,49,NA
"82",2020-03-24,686,55,30
"83",2020-03-25,790,58,31
"84",2020-03-26,893,78,35
"85",2020-03-27,1046,87,46
"86",2020-03-28,1155,102,59
"87",2020-03-29,1285,114,64
"88",2020-03-30,1414,122,75
"89",2020-03-31,1528,136,81
"90",2020-04-01,1677,157,103
"91",2020-04-02,1790,170,112
"92",2020-04-03,1986,181,134
"93",2020-04-04,2092,191,150
"94",2020-04-05,2273,198,164
"95",2020-04-06,2491,209,192
"96",2020-04-07,2738,221,204
"97",2020-04-08,2956,240,222
"98",2020-04-09,3293,280,252
"99",2020-04-10,3512,306,282
"100",2020-04-11,3842,327,286
"101",2020-04-12,4241,373,359
"102",2020-04-13,4557,399,380
"103",2020-04-14,4839,459,426
"104",2020-04-15,5136,469,446
"105",2020-04-16,5516,496,548
"106",2020-04-17,5923,520,607
"107",2020-04-18,6248,535,631
"108",2020-04-19,6575,582,686
"109",2020-04-20,6760,590,747
"110",2020-04-21,7135,616,842
"111",2020-04-22,7418,635,913
"112",2020-04-23,7775,647,960
"113",2020-04-24,8211,689,1002
"114",2020-04-25,8607,720,1042
"115",2020-04-26,8882,743,1107
"116",2020-04-27,9096,765,1151
"117",2020-04-28,9511,773,1254
"118",2020-04-29,9771,784,1391
"119",2020-04-30,10118,792,1522
"120",2020-05-01,10551,800,1591
"121",2020-05-02,10843,831,1665
"122",2020-05-03,11192,845,1876
"123",2020-05-04,11587,864,1954
"124",2020-05-05,12071,872,2197
"125",2020-05-06,12438,895,2317
"126",2020-05-07,12776,930,2381
"127",2020-05-08,13112,943,2494
"128",2020-05-09,13645,959,2607
"129",2020-05-10,14032,973,2698
"130",2020-05-11,14265,991,2881
"131",2020-05-12,14749,1007,3063
"132",2020-05-13,15438,1028,3287
"133",2020-05-14,16006,1043,3518
"134",2020-05-15,16496,1076,3803
"135",2020-05-16,17025,1089,3911
"136",2020-05-17,17514,1148,4129
"137",2020-05-18,18010,1191,4324
"138",2020-05-19,18496,1221,4467
"139",2020-05-20,19189,1242,4575
"140",2020-05-21,20162,1278,4838
"141",2020-05-22,20796,1326,5057
"142",2020-05-23,21745,1351,5249
"143",2020-05-24,22271,1372,5402
"144",2020-05-25,22750,1391,5642
"145",2020-05-26,23165,1418,5877
"146",2020-05-27,23851,1473,6057
"147",2020-05-28,24538,1496,6240
"148",2020-05-29,25216,1520,6492
"149",2020-05-30,25773,1573,7015
